price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
12000,2016.0,17,3,5,2,89000.0,1,0,1,9,9,48
11888,2011.0,5,2,5,2,85570.0,0,0,1,0,10,1
7995,2011.0,17,0,3,2,112000.0,0,0,1,9,1,15
26000,2019.0,31,0,5,2,24537.0,1,0,1,9,9,40
14083,2017.0,31,0,3,2,69517.0,0,0,1,9,9,32
12000,2010.0,26,0,5,2,90000.0,1,0,2,0,8,35
38000,2019.0,39,3,5,2,12500.0,1,0,0,0,5,45
1994,2003.0,13,1,5,2,232725.0,0,0,1,9,9,12
9695,2013.0,14,0,3,2,124619.0,0,0,1,0,3,17
1600,2011.0,17,2,3,2,89829.0,0,0,1,9,1,38
22300,2014.0,39,0,5,2,110000.0,0,0,0,0,9,48
12500,2007.0,20,2,5,2,123769.0,0,0,0,6,0,7
8900,2013.0,7,2,3,3,65000.0,0,0,1,9,10,22
27000,2015.0,23,3,5,2,53600.0,0,0,2,9,10,4
15000,2014.0,21,0,3,2,60520.0,0,0,0,0,0,48
29990,2015.0,7,2,6,2,55405.0,0,0,0,8,0,34
5950,2001.0,34,2,6,2,227000.0,0,0,0,10,9,24
6995,2000.0,4,1,3,2,78000.0,0,0,2,2,2,19
8950,2012.0,21,2,3,2,146639.0,0,0,1,12,9,18
4600,2003.0,16,2,5,2,97000.0,0,0,1,3,1,12
16000,2013.0,7,0,6,4,56300.0,0,0,2,9,0,14
8495,2009.0,39,0,3,2,149726.0,0,0,1,9,1,4
8995,2010.0,10,0,5,2,105981.0,0,0,0,0,4,15
4500,2007.0,13,0,3,2,97400.0,0,0,1,9,5,27
10500,2012.0,39,0,3,2,19900.0,1,0,1,4,9,9
17950,2017.0,18,0,5,2,28933.0,0,0,0,0,0,14
4900,2005.0,39,3,3,2,139000.0,0,0,1,9,5,34
4750,2006.0,16,0,3,2,213908.0,0,0,0,0,5,23
14777,2015.0,21,0,5,2,133071.0,0,0,0,0,5,24
5000,2010.0,13,2,5,2,150777.0,0,0,0,8,10,27
3700,2003.0,40,2,3,0,171000.0,4,1,1,9,0,17
4499,1999.0,7,2,6,2,213186.0,0,0,0,0,3,38
22500,2007.0,7,2,6,0,164773.0,0,0,2,10,10,31
6995,2005.0,34,0,6,2,131681.0,0,0,2,8,9,9
10000,2011.0,13,2,6,2,185738.0,0,0,0,10,5,20
27500,2019.0,7,0,5,2,35407.0,0,0,2,8,10,1
9995,2007.0,31,2,5,2,90298.0,0,0,2,10,5,11
2875,2010.0,13,2,3,2,237300.0,0,0,1,9,9,14
19990,2013.0,13,2,5,0,92649.0,0,0,2,10,10,46
27500,2014.0,14,0,6,2,81600.0,1,0,0,0,8,17
3000,2001.0,13,1,3,2,300000.0,0,0,0,10,4,27
